Sem. n°;Semaine (samedi);Prix / semaine;Prix / nuit;Note
22;30 mai 2026 → 6 juin 2026;2 500 €;357,14 €;
23;6 juin 2026 → 13 juin 2026;2 800 €;400 €;
24;13 juin 2026 → 20 juin 2026;2 800 €;400 €;
25;20 juin 2026 → 27 juin 2026;2 800 €;400 €;
26;27 juin 2026 → 4 juillet 2026;3 400 €;485,71 €;
27;4 juillet 2026 → 11 juillet 2026;5 000 €;714,29 €;
28;11 juillet 2026 → 18 juillet 2026;5 000 €;714,29 €;
29;18 juillet 2026 → 25 juillet 2026;5 000 €;714,29 €;
30;25 juillet 2026 → 1 août 2026;5 000 €;714,29 €;
31;1 août 2026 → 8 août 2026;5 400 €;771,43 €;
32;8 août 2026 → 15 août 2026;5 400 €;771,43 €;
33;15 août 2026 → 22 août 2026;5 400 €;771,43 €;
34;22 août 2026 → 29 août 2026;4 400 €;628,57 €;
35;29 août 2026 → 5 septembre 2026;4 400 €;628,57 €;
36;5 septembre 2026 → 12 septembre 2026;2 900 €;414,29 €;
37;12 septembre 2026 → 19 septembre 2026;2 900 €;414,29 €;
38;19 septembre 2026 → 26 septembre 2026;2 900 €;414,29 €;
39;26 septembre 2026 → 3 octobre 2026;2 900 €;414,29 €;
40;3 octobre 2026 → 10 octobre 2026;2 900 €;414,29 €;
41;10 octobre 2026 → 17 octobre 2026;2 900 €;414,29 €;
42;17 octobre 2026 → 24 octobre 2026;3 600 €;514,29 €;
43;24 octobre 2026 → 31 octobre 2026;3 600 €;514,29 €;
44;31 octobre 2026 → 7 novembre 2026;3 600 €;514,29 €;
45;7 novembre 2026 → 14 novembre 2026;2 200 €;314,29 €;
46;14 novembre 2026 → 21 novembre 2026;2 200 €;314,29 €;
47;21 novembre 2026 → 28 novembre 2026;2 200 €;314,29 €;
48;28 novembre 2026 → 5 décembre 2026;2 200 €;314,29 €;
49;5 décembre 2026 → 12 décembre 2026;4 200 €;600 €;
50;12 décembre 2026 → 19 décembre 2026;4 200 €;600 €;
51;19 décembre 2026 → 26 décembre 2026;9 200 €;1 314,29 €;
52;26 décembre 2026 → 2 janvier 2027;9 200 €;1 314,29 €;
